"module","method","path","files"
"intellicare-oswaldo","GET","/api/v1/diseases",".\intellicare-oswaldo\oswaldo\api\app.py"
"intellicare-oswaldo","GET","/api/v1/health",".\intellicare-oswaldo\oswaldo\api\app.py"
"intellicare-oswaldo","GET","/api/v1/info",".\intellicare-oswaldo\oswaldo\api\app.py"
"intellicare-oswaldo","GET","/api/v1/staging/{patient_id}",".\intellicare-oswaldo\oswaldo\api\app.py"
"intellicare-oswaldo","GET","/health",".\intellicare-oswaldo\src\oswaldo\api\main.py"
"intellicare-oswaldo","GET","/metrics",".\intellicare-oswaldo\src\oswaldo\api\main.py"
"intellicare-superz","GET","/api/v1/health",".\intellicare-superz\superz\api\app.py"
"intellicare-superz","GET","/api/v1/info",".\intellicare-superz\superz\api\app.py"
"intellicare-superz","POST","/api/v1/mcp/call",".\intellicare-superz\superz\api\app.py"
"intellicare-superz","GET","/api/v1/mcp/tools",".\intellicare-superz\superz\api\app.py"
"intellicare-superz","GET","/api/v1/rate-limit",".\intellicare-superz\superz\api\app.py"
"intellicare-wanda","POST","/api/v1/aggregate",".\intellicare-wanda\wanda\api\aggregation_routes.py"
"intellicare-wanda","PUT","/api/v1/alerts/{alert_id}/acknowledge",".\intellicare-wanda\wanda\api\alert_routes.py"
"intellicare-wanda","PUT","/api/v1/alerts/{alert_id}/resolve",".\intellicare-wanda\wanda\api\alert_routes.py"
"intellicare-wanda","GET","/api/v1/alerts/patient/{patient_id}",".\intellicare-wanda\wanda\api\alert_routes.py"
"intellicare-wanda","GET","/api/v1/alerts/queue",".\intellicare-wanda\wanda\api\alert_routes.py"
"intellicare-wanda","GET","/api/v1/alerts/stats",".\intellicare-wanda\wanda\api\alert_routes.py"
"intellicare-wanda","POST","/api/v1/bot/command",".\intellicare-wanda\wanda\api\bot_routes.py"
"intellicare-wanda","GET","/api/v1/bot/commands",".\intellicare-wanda\wanda\api\bot_routes.py"
"intellicare-wanda","GET","/api/v1/bot/log",".\intellicare-wanda\wanda\api\bot_routes.py"
"intellicare-wanda","GET","/api/v1/bot/metrics",".\intellicare-wanda\wanda\api\bot_routes.py"
"intellicare-wanda","GET","/api/v1/bot/status",".\intellicare-wanda\wanda\api\bot_routes.py"
"intellicare-wanda","GET","/api/v1/capabilities",".\intellicare-wanda\wanda\api\app.py"
"intellicare-wanda","POST","/api/v1/chat",".\intellicare-wanda\wanda\api\app.py"
"intellicare-wanda","GET","/api/v1/chat/nise/metrics",".\intellicare-wanda\wanda\api\nise_routes.py"
"intellicare-wanda","GET","/api/v1/chat/nise/status",".\intellicare-wanda\wanda\api\nise_routes.py"
"intellicare-wanda","POST","/api/v1/chat/patient",".\intellicare-wanda\wanda\api\nise_routes.py"
"intellicare-wanda","DELETE","/api/v1/chat/patient/session/{session_id}",".\intellicare-wanda\wanda\api\nise_routes.py"
"intellicare-wanda","GET","/api/v1/chat/patient/session/{session_id}",".\intellicare-wanda\wanda\api\nise_routes.py"
"intellicare-wanda","POST","/api/v1/circuit/{agent_name}/reset",".\intellicare-wanda\wanda\api\resilience_routes.py"
"intellicare-wanda","GET","/api/v1/events/coordinations",".\intellicare-wanda\wanda\api\event_routes.py"
"intellicare-wanda","POST","/api/v1/events/simulate",".\intellicare-wanda\wanda\api\event_routes.py"
"intellicare-wanda","GET","/api/v1/events/stream",".\intellicare-wanda\wanda\api\event_routes.py"
"intellicare-wanda","GET","/api/v1/health",".\intellicare-wanda\wanda\api\app.py"
"intellicare-wanda","GET","/api/v1/health/agents/{agent_name}",".\intellicare-wanda\wanda\api\resilience_routes.py"
"intellicare-wanda","GET","/api/v1/health/ecosystem",".\intellicare-wanda\wanda\api\resilience_routes.py"
"intellicare-wanda","GET","/api/v1/info",".\intellicare-wanda\wanda\api\app.py"
"intellicare-wanda","GET","/api/v1/ips/{patient_id}",".\intellicare-wanda\wanda\api\ips_routes.py"
"intellicare-wanda","DELETE","/api/v1/ips/{patient_id}/cache",".\intellicare-wanda\wanda\api\ips_routes.py"
"intellicare-wanda","GET","/api/v1/ips/{patient_id}/validate",".\intellicare-wanda\wanda\api\ips_routes.py"
"intellicare-wanda","GET","/api/v1/ips/stats",".\intellicare-wanda\wanda\api\ips_routes.py"
"intellicare-wanda","GET","/api/v1/mcp/modules",".\intellicare-wanda\wanda\api\mcp_routes.py"
"intellicare-wanda","POST","/api/v1/mcp/modules/{module_name}/refresh",".\intellicare-wanda\wanda\api\mcp_routes.py"
"intellicare-wanda","GET","/api/v1/mcp/modules/{module_name}/tools",".\intellicare-wanda\wanda\api\mcp_routes.py"
"intellicare-wanda","GET","/api/v1/mcp/tools",".\intellicare-wanda\wanda\api\mcp_routes.py"
"intellicare-wanda","POST","/api/v1/mcp/tools/{module_name}/{tool_name}",".\intellicare-wanda\wanda\api\mcp_routes.py"
