"module","file","method","path"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","POST","/api/v1/plans/{plan_id}/tasks"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/reminders"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","GET","/api/v1/reminders"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/reminders"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","POST","/api/v1/reminders"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/reminders/{reminder_id}/cancel"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/reminders/{reminder_id}/pause"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/reminders/{reminder_id}/resume"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/reminders/due"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","GET","/api/v1/reminders/schedule"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/tasks/{task_id}/complete"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","POST","/api/v1/tasks/{task_id}/complete"
"intellicare-geralda",".\intellicare-geralda\geralda\api\app.py","POST","/api/v1/tasks/{task_id}/skip"
"intellicare-geralda",".\intellicare-geralda\src\geralda\api\app.py","POST","/api/v1/tasks/{task_id}/skip"
"intellicare-grahame",".\intellicare-grahame\run_api_lite.py","GET","/api/v1/health"
"intellicare-grahame",".\intellicare-grahame\run_api_lite.py","GET","/api/v1/Observation"
"intellicare-grahame",".\intellicare-grahame\run_api_lite.py","GET","/api/v1/Patient"
"intellicare-grahame",".\intellicare-grahame\run_api_lite.py","GET","/api/v1/Patient/{patient_id}"
"intellicare-nise",".\intellicare-nise\nise\api\app.py","GET","/api/v1/info"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\chatbot.py","POST","/chatbot/chat"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\chatbot.py","GET","/chatbot/chatflows"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\chatbot.py","GET","/chatbot/chatflows/{chatflow_id}"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\chatbot.py","GET","/chatbot/health"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\chatbot.py","POST","/chatbot/test"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\framingham.py","POST","/framingham/calcular"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\framingham.py","GET","/framingham/paciente/{paciente_id}"
"intellicare-nise",".\intellicare-nise\nise\api\app.py","GET","/health"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\oswaldo.py","GET","/oswaldo/paciente/{paciente_id}/alertas"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\oswaldo.py","GET","/oswaldo/paciente/{paciente_id}/diagnosticos"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\oswaldo.py","GET","/oswaldo/paciente/{paciente_id}/resumo"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\workflows.py","GET","/workflows/executions"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\workflows.py","GET","/workflows/executions/{execution_id}"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\workflows.py","GET","/workflows/health"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\workflows.py","POST","/workflows/trigger"
"intellicare-nise",".\intellicare-nise\nise\api\endpoints\workflows.py","GET","/workflows/workflows/{workflow_id}"
"intellicare-ocr",".\intellicare-ocr\ocr\api\app.py","GET","/api/v1/health"
"intellicare-ocr",".\intellicare-ocr\ocr\api\app.py","GET","/api/v1/info"
"intellicare-ocr",".\intellicare-ocr\ocr\api\app.py","POST","/api/v1/upload"
"intellicare-ocr",".\intellicare-ocr\ocr\api\app.py","GET","/mcp/tools"
"intellicare-ocr",".\intellicare-ocr\ocr\api\app.py","POST","/mcp/tools/{tool_name}"
"intellicare-oswaldo",".\intellicare-oswaldo\src\oswaldo\api\main.py","GET","/"
"intellicare-oswaldo",".\intellicare-oswaldo\src\oswaldo\api\main.py","GET","/api"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","GET","/api/v1/alerts/{patient_id}"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","POST","/api/v1/analyze"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","GET","/api/v1/diseases"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","GET","/api/v1/health"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","GET","/api/v1/info"
"intellicare-oswaldo",".\intellicare-oswaldo\oswaldo\api\app.py","GET","/api/v1/staging/{patient_id}"
"intellicare-oswaldo",".\intellicare-oswaldo\src\oswaldo\api\main.py","GET","/health"
"intellicare-oswaldo",".\intellicare-oswaldo\src\oswaldo\api\main.py","GET","/metrics"
"intellicare-superz",".\intellicare-superz\superz\api\app.py","GET","/api/v1/health"
"intellicare-superz",".\intellicare-superz\superz\api\app.py","GET","/api/v1/info"
"intellicare-superz",".\intellicare-superz\superz\api\app.py","POST","/api/v1/mcp/call"
"intellicare-superz",".\intellicare-superz\superz\api\app.py","GET","/api/v1/mcp/tools"
"intellicare-superz",".\intellicare-superz\superz\api\app.py","GET","/api/v1/rate-limit"
"intellicare-wanda",".\intellicare-wanda\wanda\api\aggregation_routes.py","POST","/api/v1/aggregate"
"intellicare-wanda",".\intellicare-wanda\wanda\api\alert_routes.py","PUT","/api/v1/alerts/{alert_id}/acknowledge"
"intellicare-wanda",".\intellicare-wanda\wanda\api\alert_routes.py","PUT","/api/v1/alerts/{alert_id}/resolve"
"intellicare-wanda",".\intellicare-wanda\wanda\api\alert_routes.py","GET","/api/v1/alerts/patient/{patient_id}"
"intellicare-wanda",".\intellicare-wanda\wanda\api\alert_routes.py","GET","/api/v1/alerts/queue"
"intellicare-wanda",".\intellicare-wanda\wanda\api\alert_routes.py","GET","/api/v1/alerts/stats"
"intellicare-wanda",".\intellicare-wanda\wanda\api\bot_routes.py","POST","/api/v1/bot/command"
"intellicare-wanda",".\intellicare-wanda\wanda\api\bot_routes.py","GET","/api/v1/bot/commands"
"intellicare-wanda",".\intellicare-wanda\wanda\api\bot_routes.py","GET","/api/v1/bot/log"
"intellicare-wanda",".\intellicare-wanda\wanda\api\bot_routes.py","GET","/api/v1/bot/metrics"
"intellicare-wanda",".\intellicare-wanda\wanda\api\bot_routes.py","GET","/api/v1/bot/status"
"intellicare-wanda",".\intellicare-wanda\wanda\api\app.py","GET","/api/v1/capabilities"
"intellicare-wanda",".\intellicare-wanda\wanda\api\app.py","POST","/api/v1/chat"
"intellicare-wanda",".\intellicare-wanda\wanda\api\nise_routes.py","GET","/api/v1/chat/nise/metrics"
"intellicare-wanda",".\intellicare-wanda\wanda\api\nise_routes.py","GET","/api/v1/chat/nise/status"
"intellicare-wanda",".\intellicare-wanda\wanda\api\nise_routes.py","POST","/api/v1/chat/patient"
"intellicare-wanda",".\intellicare-wanda\wanda\api\nise_routes.py","DELETE","/api/v1/chat/patient/session/{session_id}"
